标题,类型,地点,价格,评分,收藏数,地区
特价房，假日客房，火车站（步行16分钟）地铁口（朝阳村2号出口100米）湘雅二附近，金苹果服装市场斜对面，空调独卫,独立一间5室 · 1床 · 可住2人,长沙火车站,¥86,4.8,141,长沙
【久桐-嬉橙】五一商圈/五一广场/正地铁口/高层落地窗/可住4人/观星城夕阳/巨幕投影,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥350,4.8,252,长沙
【慢止·初见】地铁直达五一广场 橘子洲岳麓山丨高铁近在咫尺丨超大投影,整套1室 · 1床 · 可住2~3人,长沙南站,¥170,4.8,377,长沙
【确幸民宿】舒适双床房/五一广场/ ISF国金中心/落地大窗/洗衣机/太平街/坡子街/橘子洲头/17010,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥300,5.0,67,长沙
【栖迟舍-云顶】五一商圈/湘雅附二/芙蓉广场地铁口/九龙仓IFS/巨幕投影/太平街/近岳麓山、橘子洲景点/贺龙体育馆,整套1室 · 1床 · 可住2人,距五一广场直线1.3公里 芙蓉区,¥198,5.0,157,长沙
呆享·欣宇｜清新两室｜高清投影｜梅溪湖西地铁｜岳麓山/橘子洲头/五一广场｜文化艺术中心,整套2室 · 2床 · 可住4人,梅溪湖/洋湖风景区,¥320,5.0,77,长沙
现代复古风/城市中心/五一广场核心商圈/地铁口/ifs国金中心/近太平小吃街/近解放西与黄兴路步行街/投影房/拍照场景,整套1室 · 2床 · 可住4~5人,五一广场/贺龙,¥358,5.0,141,长沙
近火车站，舒适单人间（可住两人）近火车站/五一广场/阿波罗,整套1室 · 1床 · 可住2人,长沙火车站,¥120,4.7,1362,长沙
多库存，房型随机【恋君民宿】【阳光双床房】IFS国金中心/坡子街/贾谊故居/步行街/解放西路,整套1室 · 2床 · 可住4人,距五一广场直线213米 天心区,¥268,4.9,1003,长沙
【寻屿】北欧轻奢双床｜五一广场|近地铁口|超大投影|可住4人,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥348,5.0,67,长沙
【青柚·原由】五一商圈/太平街/国金中心ifs/地铁口/巨幕投影,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥188,5.0,244,长沙
已消毒【亦家·凡尔赛】近五一广场/国金中心IFS/.超级文和友/茶颜悦色/两室一厅/免费寄存,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥428,5.0,37,长沙
凤起·57度灰/近地铁公交/五一广场/ifs国金中心/解放西/坡子街/太平老街/黄兴路步行街/火宫殿/文和友/每日消毒,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥229,4.6,337,长沙
五一广场双地铁口/黄兴广场步行街/橘子洲/岳麓山/省博物馆/江景房/多库存/房型随机,整套1室 · 1床 · 可住2人,距五一广场直线131米 开福区,¥188,4.7,1542,长沙
【cckk家】公寓近湘雅附一、中信湘雅、五一广场、省博物馆、巨幕影院loft三居室套房,整套3室 · 3床 · 可住6人,北辰/中南大学湘雅医院,¥568,5.0,80,长沙
【第3首歌•美好事物】黄兴广场正地铁口/五一广场/化龙池/IFS/坡子街近在咫尺/太平街/都正街/市中心藤艺美居,整套1室 · 1床 · 可住2人,距五一广场直线850米 天心区,¥198,5.0,282,长沙
【MantaHome●曼塔】loft复式/五一广场/近地铁口/ifs/投影仪房/双床可住四人/新小区,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥528,4.9,2341,长沙
【美景美宿·热情】五一广场/太平老街/潮宗街/地铁口/国金IFS/橘子洲/长租特惠/全屋消毒+安心住,整套2室 · 2床 · 可住4~5人,五一广场/贺龙,¥298,4.8,120,长沙
低价长短租!!【青柚·蓝悦湾】巨幕投影/五一广场/国金中心ifs/太平街/地铁口/榻榻米,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥248,4.6,250,长沙
【慢止·初见】近会展中心 长沙南 双大床住4人丨地铁口 大屏投影丨商业发达,整套1室 · 2床 · 可住4~5人,长沙南站,¥200,4.6,18,长沙
【舍予·拾光】全屋消毒高清投影双大床|免费寄存行李|五一广场|橘子洲|IFS国金|正地铁口|太平街|文和友|众多打卡地,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥384,5.0,134,长沙
现代清新大床房/五一广场城市核心商圈/地铁口/ifs国金中心/近太平街解放西/长沙老九门之浏阳门/投影房/拍照场景,整套1室 · 2床 · 可住4~5人,五一广场/贺龙,¥298,4.8,112,长沙
『壹日之光· 日暮』巨幕投影房/舒适落地窗/地铁口200米/五一广场/ifs国金中心/橘子洲头/东瓜山/,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥239,5.0,32,长沙
Yisù【喜子果冻】五一广场/双床/五一商圈/巨幕投影/太平街/坡子街/茶颜悦色/北欧风,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥350,5.0,273,长沙
｜归宿 ｜五一广场/火车站/橘子洲头/IFS国金/太平街/茶颜悦色/巨幕投影/榻榻米,整套1室 · 1床 · 可住2~3人,长沙火车站,¥228,5.0,111,长沙
夏日物语/五一芙蓉广场地铁口大床房/日式榻榻米/高清投影//IFS太平街黄兴广场,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥449,4.4,18,长沙
【暗号】暗黑系哥特式海洋球拍照浴缸水晶灯房 五一广场正地铁口IFS国金旁,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥228,4.4,1331,长沙
【青柚·盏茶】近地铁口/五一广场/国金中心IFS/巨幕投影/法式清新,整套1室 · 1床 · 可住2人,距五一广场直线860米 芙蓉区,¥188,4.7,570,长沙
呆享·安诺｜LOFT两居｜楼下地铁｜五一广场/四方坪夜市/北辰｜湘江世纪城/开福区政府/长沙汽车北站,整套2室 · 2床 · 可住4人,湘江世纪城,¥258,5.0,45,长沙
暮宿唧白私墅/IFS国金中心/五一广场/ins风复古,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥188,4.8,462,长沙
【青柚·清浅】巨幕投影/五一广场/国金中心IFS/太平街/近地铁口/榻榻米,整套1室 · 1床 · 可住2人,距五一广场直线284米 芙蓉区,¥208,4.8,937,长沙
【青柚·至爱】近五一广场、步行街、地铁口、巨幕投影,整套1室 · 1床 · 可住2人,距五一广场直线860米 芙蓉区,¥248,5.0,760,长沙
【OW桔子周·青木】超大飘窗/超清投影/近万家丽/世界之窗/扬帆夜市/芒果TV/火车站,整套1室 · 1床 · 可住2人,距五一广场直线5.2公里 芙蓉区,¥186,4.9,5204,长沙
【朴境·止迹】五一广场/国金IFS/橘子洲/太平街/解放西/原木奶油风/品质民宿/星空投影/悬浮床/乳胶床垫,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥468,5.0,204,长沙
全新网红loft小区 长沙站 五一商圈 国金中心IFS  步行街 橘子洲 岳麓山 太平街 市中心 可住4人,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥428,5.0,253,长沙
栖在小舍/五一广场/窑岭/市中心/湘雅附二/市妇幼/火车站/天租月租年租/独卫/外窗上可晾衣服多库存房源随机品质一致,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥98,5.0,313,长沙
独享整套房源·1室3床 黄兴路步行街/五一广场/国金中心/太平街/坡子街/天心阁/地铁口/省人民医院,整套1室 · 3床 · 可住3~4人,五一广场/贺龙,¥360,5.0,148,长沙
【梦琪空间】五一广场市中心/太平街/黄兴路步行街/IFS国金中心/橘子洲/高清巨幕投影大床/高层景观,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥298,4.7,206,长沙
假日客房，火车站（步行16分钟）地铁口（朝阳村2号出口100米）湘雅二附近，金苹果服装市场斜对面，独卫空调实图实拍可租,独立一间5室 · 2床 · 可住3人,长沙火车站,¥147,5.0,236,长沙
【青禾栖宿】轻住影院大床房（高铁专车接送）地铁4号线平阳地铁站,整套1室 · 1床 · 可住2人,长沙南站,¥300,5.0,218,长沙
【ONE-Home 顺品】loft复式/五一广场/地铁口/投影仪/双床房可住四人/新小区,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥588,4.0,31,长沙
【米格公寓】温馨暖黄双床房/长沙黄花机场/免费接送/百联奥特莱斯,整套1室 · 2床 · 可住2人,距黄花机场直线926米 长沙县,¥120,4.8,927,长沙
【陌野】IFS国金中心/五一广场地铁口/黄兴步行街/解放西路/太平老街/坡子街/地铁站1号线2号线到店选房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥227,4.6,2231,长沙
【凡尔德公园】两室一厅|市中心|五一广场|贺龙体育馆|交通便利|浪漫城景飘窗|巨幕投屏|茶颜悦色|全屋消毒,整套2室 · 2床 · 可住2~4人,五一广场/贺龙,¥400,5.0,792,长沙
低价长短租【青柚·尔雅】近地铁口/五一广场/国金中心IFS/巨幕投影/法式小清新,整套1室 · 1床 · 可住2人,距五一广场直线860米 芙蓉区,¥248,4.8,291,长沙
【OW桔子周·轻雾】轻奢影院Loft｜大屏投影｜免费送洗衣服务｜行李寄存｜民政学院｜林科大｜铁道学院｜德思勤,整套1室 · 1床 · 可住2人,雨花亭/东塘,¥251,5.0,6243,长沙
【白色风车】湘雅医院旁/双卫/机麻/近湖南博物馆/天心阁/泊富国际广场/茶颜悦色/北欧Loft/可住10人,整套4室 · 5床 · 可住10人,北辰/中南大学湘雅医院,¥488,5.0,96,长沙
十壹民宿｜星辉夜凝/巨屏投影/交通便捷/地铁站300米/国金中心/五一广场,整套1室 · 3床 · 可住6人,五一广场/贺龙,¥251,5.0,182,长沙
电脑商务大床房/火车站/岳麓山/橘子洲/五一广场,整套1室 · 1床 · 可住2人,距五一广场直线3.3公里 芙蓉区,¥178,4.1,56,长沙
【确幸民宿】巨幕投影双床房/五一广场/ ISF国金中心/落地大窗/洗衣机/太平街/坡子街/橘子洲头,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥300,5.0,27,长沙
【Dora的城堡】‖创意仙床+动静分区设计‖五一广场+近地铁口‖极米超清大投影‖可住4人,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥268,4.9,768,长沙
（玖舍）正地铁口 黄花机场，两室整租，大床房,整套2室 · 2床 · 可住3~4人,距黄花机场直线913米 长沙县,¥188,4.9,934,长沙
吾舍.民宿/奶油风大床房/黄兴步行街/五一广场/南门口地铁口/国金中心/天心阁/都正街/坡子街/解放西路/芙蓉广场,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥278,5.0,52,长沙
【平朗】5号线地铁口 喜盈门范城购物中心里 近高铁站 可开发票精致小公寓,整套1室 · 1床 · 可住2人,距长沙南站直线3.2公里 雨花区,¥150,4.9,3348,长沙
颜如寓(长租优惠)五一广场｜芙蓉广场｜中山路八一桥｜中山亭｜乐和城｜ifs国际中心｜五一大道｜橘子洲头｜韭菜园|烈士公园,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥180,4.9,40,长沙
【逸梵～小清新】温馨现代风格/可长租/德思勤城市广场/女子大学/林科大/理工大学/人才市场/植物园/洋湖湿地公园,整套1室 · 1床 · 可住2人,德思勤城市广场,¥209,5.0,93,长沙
投影房/可轰趴/可做饭/可打麻将/万家丽/扬帆夜市/橘子洲/五一广场/火车站/岳麓区/国金大厦/地铁口/大三房两厅两卫,整套3室 · 3床 · 可住6~9人,万家丽,¥400,5.0,78,长沙
【云缦竹里⺀】五一商圈/地铁口/巨幕投影/坡子街/太平街/中山亭/IFS国金中心,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥269,5.0,133,长沙
【梓笙·悦己】五一广场/贺龙/步行街/坡子街/IFS国金中心/太平街/步行街/橘子洲/文和友/方便停车/近地铁/高清观影,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥488,5.0,65,长沙
【良辰美宿·红日】大3床可住3-6人/全屋消毒/高清投影/五一广场/地铁口/解放西/太平老街/国金中心/免费寄存行李/,整套2室 · 3床 · 可住6人,五一广场/贺龙,¥368,5.0,49,长沙
五一广场/IFS国金中心/太平街/坡子街/橘子洲风景区/岳麓山/双地铁口【桃禧•悦心】投影大床房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥221,4.8,162,长沙
绿野仙踪|五一广场投影大床房/太平街/橘子洲/万达/五一广场八号地铁口/步行街/平和堂/步行可至IFS,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥178,5.0,130,长沙
【逸梵民宿~白月光】高层飘窗/现代风/德思勤/植物园/女子大学/林科大/理工大学/可短租、长租/近地铁站公交站,整套1室 · 1床 · 可住2人,德思勤城市广场,¥198,5.0,211,长沙
【现代时尚】五一广场/步行街/Ifs国金/芙蓉广场/橘子洲/岳麓山/湖南省博/湘雅/巨幕投影一居,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥298,4.9,1318,长沙
【久桐-海猫食堂】五一广场/正地铁口100米/直达橘子洲岳麓山/近ifs/太平老街/坡子街/大客厅可住6人,整套3室 · 3床 · 可住6人,五一广场/贺龙,¥500,5.0,18,长沙
【右见～素の野】五一广场/地铁口/坡子街火宫殿/太平街/IFS网红打卡/吃货天堂,整套1室 · 1床 · 可住2人,距五一广场直线649米 天心区,¥208,4.8,1702,长沙
海艺时光 归宿大床房/新店上线/五一广场/IFS国金中心/胡桃里/黄兴步行街/坡子街/ 近地铁/,整套1室 · 1床 · 可住2人,距五一广场直线431米 芙蓉区,¥198,4.8,2057,长沙
【星宿·星居】五一广场/IFS国金中心/坡子街/太平老街/温馨居家房,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥388,4.5,207,长沙
｜首尔探店｜五一广场/两室一厅可住4位/国金中心旁/聚会/近地铁口/冰箱洗衣机,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥659,5.0,45,长沙
【青柚·半墙】北欧轻奢/近五一广场/坡子街/国金中心/近地铁口/巨幕投影/两床房,整套1室 · 2床 · 可住2人,距五一广场直线860米 芙蓉区,¥248,4.8,361,长沙
【 月下 】~ 对影民宿 ~ (天马医院店) 北欧风大床房 | 后湖天马学生公寓 3.4号地铁站 岳麓山橘子洲五一广场|,整套1室 · 1床 · 可住2人,岳麓山大学城,¥208,5.0,37,长沙
【一客一换/洗衣机/投影房】近梅溪湖公园/文化艺术中心/金茂览秀城/财经学院/金星路地铁站,整套1室 · 1床 · 可住2人,岳麓山大学城,¥209,5.0,159,长沙
已消毒|【眠库·失乐园】五一广场·国金中心IFS·超级文和友·超好出片·正地铁口·免费寄存·两卧一厅,整套2室 · 2床 · 可住4人,距五一广场直线641米 芙蓉区,¥368,4.8,357,长沙
现代风|地铁口|四方坪夜市|网红打卡|大悦城,整套1室 · 1床 · 可住2~3人,北辰/中南大学湘雅医院,¥198,5.0,25,长沙
【行止｜ins雅致体验家】简约风/暖色系/投影/洗衣机/家具全新/实拍/双地铁/五一广场/IFS/坡子街/黄兴广场,整套1室 · 3床 · 可住4~6人,五一广场/贺龙,¥460,4.7,2228,长沙
【菡鹿.蓝】麻将机.近五一广场.市中心.地铁口200米.100寸高清投影.轻奢双床房,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥319,5.0,52,长沙
【九九的家·现代轻奢风108平米LOFT 】地铁口 /高铁站两公里/山姆保利吾悅对面明昇壹城三期优质社区,整套3室 · 3床 · 可住6~7人,长沙南站,¥368,5.0,147,长沙
【花米家民宿 】大床房【距离国金IFS 20米/超清投影/房型随机】,整套1室 · 1床 · 可住2~3人,五一广场/贺龙,¥212,5.0,122,长沙
【OW桔子周·赤道】智能投影/全身镜/浴缸/超大落地窗看长沙夜景/靠近高铁南站,整套1室 · 1床 · 可住2人,距五一广场直线6.9公里 雨花区,¥220,4.9,10619,长沙
Loft复式双床【万家·清风】万家丽广场/IFS国金/解放西/橘子洲/五一广场/2，5线双地铁口,整套2室 · 2床 · 可住4人,万家丽,¥228,5.0,149,长沙
【柚见•巨幕投影】高铁吾悦广场、地铁粟塘/平阳、五一广场、橘子洲,整套1室 · 1床 · 可住2人,长沙南站,¥208,5.0,373,长沙
【青柚·拾光】近五一广场商圈/步行街、地铁口/投影品质享受,整套1室 · 1床 · 可住2人,距五一广场直线860米 芙蓉区,¥168,4.7,521,长沙
【且慢民宿】奶油ins/五一商圈/IFS/背靠橘子洲头像打卡地/投影仪,整套1室 · 1床 · 可住2人,五一广场/贺龙,¥286,5.0,76,长沙
【喜闲&太平里】步行五分钟到五一广场/落地窗江景房/地铁口/白色摩洛哥风/大屏投影&橘子洲&岳麓山&大学城 多库存,整套1室 · 2床 · 可住4人,五一广场/贺龙,¥328,4.8,1397,长沙
已消毒|【眠库·终遇你】五一广场·国金中心IFS·超级文和友·绿化小区·正地铁口·免费寄存,整套2室 · 2床 · 可住4人,五一广场/贺龙,¥368,4.9,604,长沙
